Sr.,TIN Number,Hardware Version,mac address,image metadata,ledCommands
112,EN0010000112,F52H,EE:4A:FC:10:A9:36,EN0010000112 V2.1-080529 2.66 BWRY F52H,"[+]led,EE:4A:FC:10:A9:36"
113,EN0010000113,F52H,C3:4B:01:70:86:65,EN0010000113 V2.1-080529 2.66 BWRY F52H,"[+]led,C3:4B:01:70:86:65"
114,EN0010000114,F52H,FA:F8:86:57:1E:F2,EN0010000114 V2.1-080529 2.66 BWRY F52H,"[+]led,FA:F8:86:57:1E:F2"
115,EN0010000115,F52H,D1:6E:33:B3:34:D7,EN0010000115 V2.1-080529 2.66 BWRY F52H,"[+]led,D1:6E:33:B3:34:D7"
116,EN0010000116,F52H,FD:B3:FC:96:1B:E1,EN0010000116 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:B3:FC:96:1B:E1"
,,,,,"[+]led,"
,,,,,"[+]led,"
117,EN0010000117,F52H,E3:98:6C:37:CB:14,EN0010000117 V2.1-080529 2.66 BWRY F52H,"[+]led,E3:98:6C:37:CB:14"
118,EN0010000118,F52H,EB:9F:A5:4D:3F:64,EN0010000118 V2.1-080529 2.66 BWRY F52H,"[+]led,EB:9F:A5:4D:3F:64"
119,EN0010000119,F52H,E7:93:CF:62:C3:AE,EN0010000119 V2.1-080529 2.66 BWRY F52H,"[+]led,E7:93:CF:62:C3:AE"
120,EN0010000120,F52H,D5:BA:88:88:8B:06,EN0010000120 V2.1-080529 2.66 BWRY F52H,"[+]led,D5:BA:88:88:8B:06"
121,EN0010000121,F52H,CF:A9:58:E8:57:B5,EN0010000121 V2.1-080529 2.66 BWRY F52H,"[+]led,CF:A9:58:E8:57:B5"
122,EN0010000122,F52H,F7:88:E0:D9:87:CD,EN0010000122 V2.1-080529 2.66 BWRY F52H,"[+]led,F7:88:E0:D9:87:CD"
123,EN0010000123,F52H,D8:CE:FD:6A:91:9A,EN0010000123 V2.1-080529 2.66 BWRY F52H,"[+]led,D8:CE:FD:6A:91:9A"
124,EN0010000124,F52H,E0:C1:01:AC:45:EE,EN0010000124 V2.1-080529 2.66 BWRY F52H,"[+]led,E0:C1:01:AC:45:EE"
125,EN0010000125,F52H,FF:41:83:E0:E8:F0,EN0010000125 V2.1-080529 2.66 BWRY F52H,"[+]led,FF:41:83:E0:E8:F0"
126,EN0010000126,F52H,DA:5B:35:B8:3C:26,EN0010000126 V2.1-080529 2.66 BWRY F52H,"[+]led,DA:5B:35:B8:3C:26"
127,EN0010000127,F52H,C3:1A:A0:C1:4C:97,EN0010000127 V2.1-080529 2.66 BWRY F52H,"[+]led,C3:1A:A0:C1:4C:97"
128,EN0010000128,F52H,F7:37:D5:0B:49:FA,EN0010000128 V2.1-080529 2.66 BWRY F52H,"[+]led,F7:37:D5:0B:49:FA"
129,EN0010000129,F52H,E3:11:56:2B:14:5E,EN0010000129 V2.1-080529 2.66 BWRY F52H,"[+]led,E3:11:56:2B:14:5E"
130,EN0010000130,F52H,C6:FF:97:EF:75:CC,EN0010000130 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:FF:97:EF:75:CC"
131,EN0010000131,F52H,F5:86:D4:B2:6D:10,EN0010000131 V2.1-080529 2.66 BWRY F52H,"[+]led,F5:86:D4:B2:6D:10"
132,EN0010000132,F52H,C3:28:60:02:9E:00,EN0010000132 V2.1-080529 2.66 BWRY F52H,"[+]led,C3:28:60:02:9E:00"
133,EN0010000133,F52H,E5:E6:47:47:61:3A,EN0010000133 V2.1-080529 2.66 BWRY F52H,"[+]led,E5:E6:47:47:61:3A"
134,EN0010000134,F52H,E4:B2:8C:3D:92:03,EN0010000134 V2.1-080529 2.66 BWRY F52H,"[+]led,E4:B2:8C:3D:92:03"
135,EN0010000135,F52H,E2:06:32:1B:27:37,EN0010000135 V2.1-080529 2.66 BWRY F52H,"[+]led,E2:06:32:1B:27:37"
136,EN0010000136,F52H,C1:95:93:72:A6:68,EN0010000136 V2.1-080529 2.66 BWRY F52H,"[+]led,C1:95:93:72:A6:68"
137,EN0010000137,F52H,C7:9B:3B:2D:5C:B0,EN0010000137 V2.1-080529 2.66 BWRY F52H,"[+]led,C7:9B:3B:2D:5C:B0"
138,EN0010000138,F52H,EA:58:CF:E8:6D:82,EN0010000138 V2.1-080529 2.66 BWRY F52H,"[+]led,EA:58:CF:E8:6D:82"
139,EN0010000139,F52H,DE:2F:FD:4A:C4:A0,EN0010000139 V2.1-080529 2.66 BWRY F52H,"[+]led,DE:2F:FD:4A:C4:A0"
140,EN0010000140,F52H,E4:F7:FF:2F:74:86,EN0010000140 V2.1-080529 2.66 BWRY F52H,"[+]led,E4:F7:FF:2F:74:86"
141,EN0010000141,F52H,FC:22:FF:E1:7B:A7,EN0010000141 V2.1-080529 2.66 BWRY F52H,"[+]led,FC:22:FF:E1:7B:A7"
142,EN0010000142,F52H,FD:6D:A6:BF:8F:DC,EN0010000142 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:6D:A6:BF:8F:DC"
143,EN0010000143,F52H,FD:CC:FD:A6:B4:CD,EN0010000143 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:CC:FD:A6:B4:CD"
144,EN0010000144,F52H,D0:9D:B0:72:F2:A3,EN0010000144 V2.1-080529 2.66 BWRY F52H,"[+]led,D0:9D:B0:72:F2:A3"
145,EN0010000145,F52H,F0:1C:95:0D:98:DB,EN0010000145 V2.1-080529 2.66 BWRY F52H,"[+]led,F0:1C:95:0D:98:DB"
146,EN0010000146,F52H,D1:5B:FD:06:0C:8B,EN0010000146 V2.1-080529 2.66 BWRY F52H,"[+]led,D1:5B:FD:06:0C:8B"
147,EN0010000147,F52H,C7:5A:D2:E1:F3:07,EN0010000147 V2.1-080529 2.66 BWRY F52H,"[+]led,C7:5A:D2:E1:F3:07"
148,EN0010000148,F52H,DD:34:8A:AC:CA:42,EN0010000148 V2.1-080529 2.66 BWRY F52H,"[+]led,DD:34:8A:AC:CA:42"
149,EN0010000149,F52H,D7:3A:FF:7F:BB:E1,EN0010000149 V2.1-080529 2.66 BWRY F52H,"[+]led,D7:3A:FF:7F:BB:E1"
150,EN0010000150,F52H,D7:AC:4E:DA:A0:D7,EN0010000150 V2.1-080529 2.66 BWRY F52H,"[+]led,D7:AC:4E:DA:A0:D7"
151,EN0010000151,F52H,D2:AD:EE:C8:59:4B,EN0010000151 V2.1-080529 2.66 BWRY F52H,"[+]led,D2:AD:EE:C8:59:4B"
152,EN0010000152,F52H,D9:81:FE:3A:AC:9B,EN0010000152 V2.1-080529 2.66 BWRY F52H,"[+]led,D9:81:FE:3A:AC:9B"
153,EN0010000153,F52H,CA:CD:ED:9B:A8:D2,EN0010000153 V2.1-080529 2.66 BWRY F52H,"[+]led,CA:CD:ED:9B:A8:D2"
154,EN0010000154,F52H,DB:39:FE:0E:54:C2,EN0010000154 V2.1-080529 2.66 BWRY F52H,"[+]led,DB:39:FE:0E:54:C2"
155,EN0010000155,F52H,FD:09:D3:49:F7:D4,EN0010000155 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:09:D3:49:F7:D4"
156,EN0010000156,F52H,E7:DE:9D:DF:85:FC,EN0010000156 V2.1-080529 2.66 BWRY F52H,"[+]led,E7:DE:9D:DF:85:FC"
157,EN0010000157,F52H,C2:41:2D:26:2F:C2,EN0010000157 V2.1-080529 2.66 BWRY F52H,"[+]led,C2:41:2D:26:2F:C2"
158,EN0010000158,F52H,DB:49:8D:35:EC:42,EN0010000158 V2.1-080529 2.66 BWRY F52H,"[+]led,DB:49:8D:35:EC:42"
159,EN0010000159,F52H,F3:CA:FC:90:BB:74,EN0010000159 V2.1-080529 2.66 BWRY F52H,"[+]led,F3:CA:FC:90:BB:74"
160,EN0010000160,F52H,E8:D5:EC:59:AA:49,EN0010000160 V2.1-080529 2.66 BWRY F52H,"[+]led,E8:D5:EC:59:AA:49"
161,EN0010000161,F52H,DC:2D:FC:C8:22:03,EN0010000161 V2.1-080529 2.66 BWRY F52H,"[+]led,DC:2D:FC:C8:22:03"
162,EN0010000162,F52H,C8:F8:E1:E8:E2:6E,EN0010000162 V2.1-080529 2.66 BWRY F52H,"[+]led,C8:F8:E1:E8:E2:6E"
163,EN0010000163,F52H,D7:1D:81:75:4E:55,EN0010000163 V2.1-080529 2.66 BWRY F52H,"[+]led,D7:1D:81:75:4E:55"
164,EN0010000164,F52H,F0:64:28:D7:C4:8E,EN0010000164 V2.1-080529 2.66 BWRY F52H,"[+]led,F0:64:28:D7:C4:8E"
165,EN0010000165,F52H,E8:B3:F9:3D:BE:23,EN0010000165 V2.1-080529 2.66 BWRY F52H,"[+]led,E8:B3:F9:3D:BE:23"
166,EN0010000166,F52H,C8:94:A2:61:41:A3,EN0010000166 V2.1-080529 2.66 BWRY F52H,"[+]led,C8:94:A2:61:41:A3"
167,EN0010000167,F52H,D6:88:0F:9C:19:7A,EN0010000167 V2.1-080529 2.66 BWRY F52H,"[+]led,D6:88:0F:9C:19:7A"
168,EN0010000168,F52H,EC:5E:ED:15:CE:FB,EN0010000168 V2.1-080529 2.66 BWRY F52H,"[+]led,EC:5E:ED:15:CE:FB"
169,EN0010000169,F52H,CB:E7:A4:B4:C9:3E,EN0010000169 V2.1-080529 2.66 BWRY F52H,"[+]led,CB:E7:A4:B4:C9:3E"
170,EN0010000170,F52H,DD:3B:C3:E1:A6:C6,EN0010000170 V2.1-080529 2.66 BWRY F52H,"[+]led,DD:3B:C3:E1:A6:C6"
171,EN0010000171,F52H,D5:34:08:38:55:68,EN0010000171 V2.1-080529 2.66 BWRY F52H,"[+]led,D5:34:08:38:55:68"
172,EN0010000172,F52H,D7:56:A5:3C:62:E1,EN0010000172 V2.1-080529 2.66 BWRY F52H,"[+]led,D7:56:A5:3C:62:E1"
173,EN0010000173,F52H,E3:73:13:10:D2:A4,EN0010000173 V2.1-080529 2.66 BWRY F52H,"[+]led,E3:73:13:10:D2:A4"
174,EN0010000174,F52H,DB:00:EA:D6:05:4B,EN0010000174 V2.1-080529 2.66 BWRY F52H,"[+]led,DB:00:EA:D6:05:4B"
175,EN0010000175,F52H,E2:C3:A5:A4:06:3B,EN0010000175 V2.1-080529 2.66 BWRY F52H,"[+]led,E2:C3:A5:A4:06:3B"
176,EN0010000176,F52H,D9:6B:68:56:48:68,EN0010000176 V2.1-080529 2.66 BWRY F52H,"[+]led,D9:6B:68:56:48:68"
177,EN0010000177,F52H,D3:61:EF:52:79:E4,EN0010000177 V2.1-080529 2.66 BWRY F52H,"[+]led,D3:61:EF:52:79:E4"
178,EN0010000178,F52H,C5:FF:F6:A4:6E:E6,EN0010000178 V2.1-080529 2.66 BWRY F52H,"[+]led,C5:FF:F6:A4:6E:E6"
179,EN0010000179,F52H,C0:46:BB:A7:D1:3E,EN0010000179 V2.1-080529 2.66 BWRY F52H,"[+]led,C0:46:BB:A7:D1:3E"
180,EN0010000180,F52H,D5:8C:34:D4:89:1F,EN0010000180 V2.1-080529 2.66 BWRY F52H,"[+]led,D5:8C:34:D4:89:1F"
181,EN0010000181,F52H,D4:FC:FF:64:CD:CA,EN0010000181 V2.1-080529 2.66 BWRY F52H,"[+]led,D4:FC:FF:64:CD:CA"
182,EN0010000182,F52H,C2:E8:BC:B2:80:4F,EN0010000182 V2.1-080529 2.66 BWRY F52H,"[+]led,C2:E8:BC:B2:80:4F"
183,EN0010000183,F52H,D8:E1:FE:4D:C1:E7,EN0010000183 V2.1-080529 2.66 BWRY F52H,"[+]led,D8:E1:FE:4D:C1:E7"
184,EN0010000184,F52H,F2:75:F0:2F:46:1D,EN0010000184 V2.1-080529 2.66 BWRY F52H,"[+]led,F2:75:F0:2F:46:1D"
185,EN0010000185,F52H,DD:6F:5F:57:77:83,EN0010000185 V2.1-080529 2.66 BWRY F52H,"[+]led,DD:6F:5F:57:77:83"
186,EN0010000186,F52H,CC:69:57:B4:15:C5,EN0010000186 V2.1-080529 2.66 BWRY F52H,"[+]led,CC:69:57:B4:15:C5"
187,EN0010000187,F52H,C6:A6:4B:5E:EC:9B,EN0010000187 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:A6:4B:5E:EC:9B"
188,EN0010000188,F52H,F2:1A:EC:DD:1B:89,EN0010000188 V2.1-080529 2.66 BWRY F52H,"[+]led,F2:1A:EC:DD:1B:89"
189,EN0010000189,F52H,E0:55:6D:FD:98:48,EN0010000189 V2.1-080529 2.66 BWRY F52H,"[+]led,E0:55:6D:FD:98:48"
190,EN0010000190,F52H,FE:11:6D:50:8A:64,EN0010000190 V2.1-080529 2.66 BWRY F52H,"[+]led,FE:11:6D:50:8A:64"
191,EN0010000191,F52H,FB:A8:6C:CC:4A:D3,EN0010000191 V2.1-080529 2.66 BWRY F52H,"[+]led,FB:A8:6C:CC:4A:D3"
192,EN0010000192,F52H,CA:97:50:2B:A1:1A,EN0010000192 V2.1-080529 2.66 BWRY F52H,"[+]led,CA:97:50:2B:A1:1A"
193,EN0010000193,F52H,C5:5D:FF:FF:C7:49,EN0010000193 V2.1-080529 2.66 BWRY F52H,"[+]led,C5:5D:FF:FF:C7:49"
194,EN0010000194,F52H,F7:7D:FF:75:A9:19,EN0010000194 V2.1-080529 2.66 BWRY F52H,"[+]led,F7:7D:FF:75:A9:19"
195,EN0010000195,F52H,F5:B1:F8:92:FC:43,EN0010000195 V2.1-080529 2.66 BWRY F52H,"[+]led,F5:B1:F8:92:FC:43"
196,EN0010000196,F52H,CF:1C:DF:AB:3F:35,EN0010000196 V2.1-080529 2.66 BWRY F52H,"[+]led,CF:1C:DF:AB:3F:35"
197,EN0010000197,F52H,C5:CB:B2:B6:A4:A6,EN0010000197 V2.1-080529 2.66 BWRY F52H,"[+]led,C5:CB:B2:B6:A4:A6"
198,EN0010000198,F52H,FD:85:D5:CF:D6:36,EN0010000198 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:85:D5:CF:D6:36"
199,EN0010000199,F52H,C6:79:F6:4D:EF:1F,EN0010000199 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:79:F6:4D:EF:1F"
200,EN0010000200,F52H,CB:59:C6:E4:8E:E4,EN0010000200 V2.1-080529 2.66 BWRY F52H,"[+]led,CB:59:C6:E4:8E:E4"
201,EN0010000201,F52H,DE:0B:AD:9D:36:7E,EN0010000201 V2.1-080529 2.66 BWRY F52H,"[+]led,DE:0B:AD:9D:36:7E"
202,EN0010000202,F52H,C0:40:93:01:A9:4F,EN0010000202 V2.1-080529 2.66 BWRY F52H,"[+]led,C0:40:93:01:A9:4F"
203,EN0010000203,F52H,F2:E0:F9:FA:44:0E,EN0010000203 V2.1-080529 2.66 BWRY F52H,"[+]led,F2:E0:F9:FA:44:0E"
